,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Jaipur.,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
1,Jaipur.,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
2,Jaipur.,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
3,Jaipur.,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
4,Rajasthan State hotel,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
5,Rajasthan State hotel,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
6,Rajasthan State hotel,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
7,Rajasthan State hotel,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
8,Ashoknagar,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
9,Ashoknagar,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
10,Ashoknagar,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
11,Ashoknagar,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
12,Purani Basti,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
13,Purani Basti,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
14,Purani Basti,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
15,Purani Basti,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
16,Bhura Tiba,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
17,Bhura Tiba,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
18,Bhura Tiba,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
19,Bhura Tiba,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
20,M.I.road,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
21,M.I.road,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
22,M.I.road,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
23,M.I.road,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
24,Indra Bazar,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
25,Indra Bazar,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
26,Indra Bazar,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
27,Indra Bazar,26.9196,75.78779999999998,Pavilion,26.919740821838534,75.7913873347558,Indian Restaurant
28,C.P.m.g,26.9196,75.78779999999998,Peshawri,26.91973546696911,75.79127071351276,Indian Restaurant
29,C.P.m.g,26.9196,75.78779999999998,ITC Rajputana,26.919312460761518,75.79117476940155,Hotel
30,C.P.m.g,26.9196,75.78779999999998,Jal Mahal,26.91969317350503,75.79130758034852,Indian Restaurant
