,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M.P.t.,18.9474,72.8138,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
1,M.P.t.,18.9474,72.8138,Queens Necklace,18.945442974037014,72.81787199062711,Harbor / Marina
2,Bazargate,18.9474,72.8138,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
3,Bazargate,18.9474,72.8138,Queens Necklace,18.945442974037014,72.81787199062711,Harbor / Marina
4,Mumbai.,18.9474,72.8138,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
5,Mumbai.,18.9474,72.8138,Queens Necklace,18.945442974037014,72.81787199062711,Harbor / Marina
6,Stock Exchange,18.9474,72.8138,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
7,Stock Exchange,18.9474,72.8138,Queens Necklace,18.945442974037014,72.81787199062711,Harbor / Marina
8,Tajmahal,18.9474,72.8138,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
9,Tajmahal,18.9474,72.8138,Queens Necklace,18.945442974037014,72.81787199062711,Harbor / Marina
10,Town Hall,18.9474,72.8138,H2O And Salt Water Grill,18.950534696755238,72.81686782836914,Harbor / Marina
11,Town Hall,18.9474,72.8138,Queens Necklace,18.945442974037014,72.81787199062711,Harbor / Marina
12,Shroff Mahajan,18.975,72.8258,Celejor,18.97584443166727,72.8236785218938,Bakery
13,Shroff Mahajan,18.975,72.8258,cafe coffee day,18.976988366293984,72.82405095322007,Coffee Shop
14,Shroff Mahajan,18.975,72.8258,YMCA Ground,18.97200613365458,72.82401149294802,Soccer Field
15,Shroff Mahajan,18.975,72.8258,YMCA,18.972186620086145,72.82349073755792,Athletics & Sports
16,S. c. court,18.975,72.8258,Celejor,18.97584443166727,72.8236785218938,Bakery
17,S. c. court,18.975,72.8258,cafe coffee day,18.976988366293984,72.82405095322007,Coffee Shop
18,S. c. court,18.975,72.8258,YMCA Ground,18.97200613365458,72.82401149294802,Soccer Field
19,S. c. court,18.975,72.8258,YMCA,18.972186620086145,72.82349073755792,Athletics & Sports
20,Ramwadi,18.975,72.8258,Celejor,18.97584443166727,72.8236785218938,Bakery
21,Ramwadi,18.975,72.8258,cafe coffee day,18.976988366293984,72.82405095322007,Coffee Shop
22,Ramwadi,18.975,72.8258,YMCA Ground,18.97200613365458,72.82401149294802,Soccer Field
23,Ramwadi,18.975,72.8258,YMCA,18.972186620086145,72.82349073755792,Athletics & Sports
24,Thakurdwar,18.975,72.8258,Celejor,18.97584443166727,72.8236785218938,Bakery
25,Thakurdwar,18.975,72.8258,cafe coffee day,18.976988366293984,72.82405095322007,Coffee Shop
26,Thakurdwar,18.975,72.8258,YMCA Ground,18.97200613365458,72.82401149294802,Soccer Field
27,Thakurdwar,18.975,72.8258,YMCA,18.972186620086145,72.82349073755792,Athletics & Sports
28,Kalbadevi,18.975,72.8258,Celejor,18.97584443166727,72.8236785218938,Bakery
29,Kalbadevi,18.975,72.8258,cafe coffee day,18.976988366293984,72.82405095322007,Coffee Shop
30,Kalbadevi,18.975,72.8258,YMCA Ground,18.97200613365458,72.82401149294802,Soccer Field
31,Kalbadevi,18.975,72.8258,YMCA,18.972186620086145,72.82349073755792,Athletics & Sports
32,Mandvi,18.95,72.8333,Bhagat Tarachand Restaurant,18.951801999721898,72.83048598110027,Indian Restaurant
33,Mandvi,18.95,72.8333,Gulshan-E-Iran,18.948117926668065,72.83542708588257,Middle Eastern Restaurant
34,Mandvi,18.95,72.8333,Jaffar Bhai Delhi Darbar,18.94999996442343,72.8346246415165,Indian Restaurant
35,Mandvi,18.95,72.8333,Parsi Dairy Farm,18.946755804146605,72.83118326738536,Cheese Shop
36,Mandvi,18.95,72.8333,Crawford Market,18.946761002522727,72.83122518841544,Market
37,Mandvi,18.95,72.8333,Patel Restaurant,18.949797549178328,72.83465488970278,Restaurant
38,Mandvi,18.95,72.8333,Badshah,18.947243551536065,72.833455829912,Fast Food Restaurant
39,Mandvi,18.95,72.8333,"Badshah - Falooda, Ice Cream, Syrups",18.947303120733206,72.83347019211607,Ice Cream Shop
40,Mandvi,18.95,72.8333,Sadanand Hotel,18.947969997648123,72.83409430977179,Indian Restaurant
41,Mandvi,18.95,72.8333,Surti Hotel,18.952567249812088,72.82990537116653,Food
42,Mandvi,18.95,72.8333,Revival Indian Thali,18.946895867988893,72.8327530932732,Indian Restaurant
43,Mandvi,18.95,72.8333,Manish Market,18.9477042877802,72.83540724656824,Electronics Store
44,Mandvi,18.95,72.8333,Subway,18.94771135598101,72.83386249089212,American Restaurant
45,Mandvi,18.95,72.8333,Hotel B Bhagat Tarachand,18.95382088947114,72.83120674716521,Indian Restaurant
46,Mandvi,18.95,72.8333,Bawarchi,18.946074577323962,72.83173758350135,Indian Restaurant
47,Mandvi,18.95,72.8333,Deepam,18.947163,72.832546,Furniture / Home Store
48,Mandvi,18.95,72.8333,Peekay Wines,18.94600987062283,72.83395323573333,Wine Shop
49,B P t colony,18.95,72.8333,Bhagat Tarachand Restaurant,18.951801999721898,72.83048598110027,Indian Restaurant
50,B P t colony,18.95,72.8333,Gulshan-E-Iran,18.948117926668065,72.83542708588257,Middle Eastern Restaurant
51,B P t colony,18.95,72.8333,Jaffar Bhai Delhi Darbar,18.94999996442343,72.8346246415165,Indian Restaurant
52,B P t colony,18.95,72.8333,Parsi Dairy Farm,18.946755804146605,72.83118326738536,Cheese Shop
53,B P t colony,18.95,72.8333,Crawford Market,18.946761002522727,72.83122518841544,Market
54,B P t colony,18.95,72.8333,Patel Restaurant,18.949797549178328,72.83465488970278,Restaurant
55,B P t colony,18.95,72.8333,Badshah,18.947243551536065,72.833455829912,Fast Food Restaurant
56,B P t colony,18.95,72.8333,"Badshah - Falooda, Ice Cream, Syrups",18.947303120733206,72.83347019211607,Ice Cream Shop
57,B P t colony,18.95,72.8333,Sadanand Hotel,18.947969997648123,72.83409430977179,Indian Restaurant
58,B P t colony,18.95,72.8333,Surti Hotel,18.952567249812088,72.82990537116653,Food
59,B P t colony,18.95,72.8333,Revival Indian Thali,18.946895867988893,72.8327530932732,Indian Restaurant
60,B P t colony,18.95,72.8333,Manish Market,18.9477042877802,72.83540724656824,Electronics Store
61,B P t colony,18.95,72.8333,Subway,18.94771135598101,72.83386249089212,American Restaurant
62,B P t colony,18.95,72.8333,Hotel B Bhagat Tarachand,18.95382088947114,72.83120674716521,Indian Restaurant
63,B P t colony,18.95,72.8333,Bawarchi,18.946074577323962,72.83173758350135,Indian Restaurant
64,B P t colony,18.95,72.8333,Deepam,18.947163,72.832546,Furniture / Home Store
65,B P t colony,18.95,72.8333,Peekay Wines,18.94600987062283,72.83395323573333,Wine Shop
