,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Pune,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
1,Pune,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
2,Pune New bazar,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
3,Pune New bazar,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
4,Pune R.s.,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
5,Pune R.s.,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
6,Dr.B.a. chowk,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
7,Dr.B.a. chowk,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
8,Sachapir Street,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
9,Sachapir Street,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
10,Ghorpuri Bazar,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
11,Ghorpuri Bazar,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
12,Pune Cantt east,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
13,Pune Cantt east,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
14,Yerwada T.s.,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
15,Yerwada T.s.,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
16,N.W. college,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
17,N.W. college,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
18,C D a (o),18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
19,C D a (o),18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
20,Dapodi,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
21,Dapodi,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
22,Kapad Ganj,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
23,Kapad Ganj,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
24,Raviwar Peth,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
25,Raviwar Peth,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
26,Bajirao Road,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
27,Bajirao Road,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
28,Shukrawar Peth,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
29,Shukrawar Peth,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
30,M.Fule market,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
31,M.Fule market,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
32,Pune City,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
33,Pune City,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
34,Nana Peth,18.5372,73.8551,Shopper's Stop,18.534331628997844,73.85190002869798,Department Store
35,Nana Peth,18.5372,73.8551,CCD,18.534404526709015,73.85178745252576,Café
36,Khadki Bazar,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
37,Khadki Bazar,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
38,Khadki Bazar,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
39,Khadki Bazar,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
40,Khadki Bazar,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
41,Botanical Garden,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
42,Botanical Garden,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
43,Botanical Garden,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
44,Botanical Garden,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
45,Botanical Garden,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
46,Khadki Arsenel,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
47,Khadki Arsenel,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
48,Khadki Arsenel,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
49,Khadki Arsenel,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
50,Khadki Arsenel,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
51,L.K. path,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
52,L.K. path,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
53,L.K. path,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
54,L.K. path,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
55,L.K. path,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
56,East Khadki,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
57,East Khadki,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
58,East Khadki,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
59,East Khadki,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
60,East Khadki,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
61,Khadki,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
62,Khadki,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
63,Khadki,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
64,Khadki,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
65,Khadki,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
66,H.E. factory,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
67,H.E. factory,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
68,H.E. factory,18.5635,73.852,Axis Bank ATM,18.56111907959,73.853012084961,ATM
69,H.E. factory,18.5635,73.852,Hotel Ceown,18.566097308825036,73.85039763704688,Indian Restaurant
70,H.E. factory,18.5635,73.852,Poona General Stores,18.566367234354402,73.84984748189946,Department Store
71,Ammunition Factory khadki,18.5635,73.852,Monginis Cake Shop,18.564799058224494,73.85059864402436,Bakery
72,Ammunition Factory khadki,18.5635,73.852,Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,Department Store
